job tile,company name,location,job skills,links,salary
Senior Python Developer,Softxpert Incorporation  -,"Bolkly, Alexandria, Egypt ",Full TimeHybridExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · Angular · Software Development · Software Engineering · Web Development · MySQL · Python · Django Framework,https://wuzzuf.net/jobs/p/5rnqeesfthrp-senior-python-developer-softxpert-incorporation-alexandria-egypt,Not Available
DAZU - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Full TimeHybridExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science,https://wuzzuf.net/jobs/p/xzK5LWDSSj5o-DAZU---Python-Developer-FinTech-Bright-Creations-Giza-Egypt,Not Available
Python Team Lead - AI & Python Engineering,Softec Technologies -,"Cairo, Egypt ",Full TimeHybridExperienced · 6+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · API · AWS · Communication skills · Computer Science · Development · Docker · Engineering,https://wuzzuf.net/jobs/p/y9FsWhj1fMll-Python-Team-Lead---AI-Python-Engineering-Softec-Technologies-Cairo-Egypt,Not Available
Odoo Developer,Flint International -,"Cairo, Egypt ",Full TimeHybridExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · Git · Agile · JavaScript · jQuery · Linux · PostgreSQL,https://wuzzuf.net/jobs/p/8yddjpxjfyob-odoo-developer-flint-international-cairo-egypt,Not Available
Mid-Backend Developer,Nexus Analytica -,"Shorouk City, Cairo, Egypt ",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · IT/Software Development · back-end · Back-End Developer · Computer Science · Python · Software Engineering · Software Development · developer,https://wuzzuf.net/jobs/p/noaqn3lfma1u-mid-backend-developer-nexus-analytica-cairo-egypt,Not Available
Senior Full Stack Developer,Mojaa -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Full Stack Development · React · Vibe Coding · AI · Azure · Product Development · API · graphQL · Windsurf,https://wuzzuf.net/jobs/p/xdesbrvhwveg-senior-full-stack-developer-mojaa-cairo-egypt,Not Available
Senior Power BI Developer (GeoLocation Specialist),Madar Soft -,"Fleming, Alexandria, Egypt ",Full TimeRemoteExperienced · 3 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · BI · Python · SQL Server · SQL · SSIS · Computer Science · Data Modeling,https://wuzzuf.net/jobs/p/oq85bzq9ggmr-senior-power-bi-developer-geolocation-specialist-madar-soft-alexandria-egypt,Not Available
AI Engineer (Custom AI Solutions & GPT Tools) – On-Site,Stellar Charter Nexus -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 2+ Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · APIs · Computer Science · Development · Engineering · Frameworks · Information Technology (IT),https://wuzzuf.net/jobs/p/cfylkx2k6qh2-ai-engineer-custom-ai-solutions-gpt-tools-–-on-site-stellar-charter-nexus-cairo-egypt,Not Available
Linux System Administrator,Softxpert Incorporation  -,"Alexandria, Egypt ",Full TimeOn-siteEntry Level · 1+ Yrs of Exp · Administration · IT/Software Development · Administration · Linux · Engineering · Security · System Administration · AWS · Computer Science · English,https://wuzzuf.net/jobs/p/6a8gqt6zhygb-linux-system-administrator-softxpert-incorporation-alexandria-egypt,Not Available
Power BI Developer,Creo Technologies -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Power BI · SQL · BI · Data Warehousing · ETL · Python · SSIS · Azure,https://wuzzuf.net/jobs/p/hdwl7cb1ge76-power-bi-developer-creo-technologies-cairo-egypt,Not Available
